GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gamesUP,com.gamesUP.gamesUP.web,CategoryController,0,99,0,0,0,20,0,7,0,7
gamesUP,com.gamesUP.gamesUP.web,AuthorController,0,83,0,0,0,18,0,7,0,7
gamesUP,com.gamesUP.gamesUP.web,AuthController,10,16,0,0,3,5,2,3,2,3
gamesUP,com.gamesUP.gamesUP.web,PublisherController,0,99,0,0,0,20,0,7,0,7
gamesUP,com.gamesUP.gamesUP.web,BoardGameController,26,161,3,3,5,43,6,7,3,7
gamesUP,com.gamesUP.gamesUP.web,UserAccountController,0,94,0,0,0,26,0,8,0,8
gamesUP,com.gamesUP.gamesUP.web,PurchaseOrderController,0,173,1,3,0,48,1,10,0,9
gamesUP,com.gamesUP.gamesUP.web,ApiExceptionHandler,0,81,0,0,0,29,0,6,0,6
gamesUP,com.gamesUP.gamesUP.web.dto,CategoryResponse,0,12,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,CategoryRequest,0,9,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,OrderLineResponse,0,15,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,AuthResponse,0,24,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,UserAccountResponse,0,24,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,PublisherResponse,0,12,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,UserAccountRequest,0,18,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,AuthLoginRequest,0,9,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,OrderLineRequest,0,12,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,AuthRegisterRequest,0,15,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,PurchaseOrderRequest,0,18,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,ApiErrorResponse,0,15,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,BoardGameRequest,0,27,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,PublisherRequest,0,9,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,RefreshTokenRequest,0,6,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,AuthorRequest,0,6,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,BoardGameResponse,0,30,0,0,0,1,0,1,0,1
